Oligo_Number,K562_Rep_1_Normalized_Edit_Score,K562_Rep_3_Normalized_Edit_Score,K562_Rep_2_Normalized_Edit_Score,K562_Rep_4_Normalized_Edit_Score,HEK293T_Rep_4_Normalized_Edit_Score,HEK293T_Rep_3_Normalized_Edit_Score,HEK293T_Rep_2_Normalized_Edit_Score,HEK293T_Rep_1_Normalized_Edit_Score,iPSC_Rep_1_Normalized_Edit_Score,iPSC_Rep_2_Normalized_Edit_Score,iPSC_Rep_4_Normalized_Edit_Score,iPSC_Rep_3_Normalized_Edit_Score
299,0.049690608,0.220173269,4.450121501,6.54228173,10.1953147,3.205953163,0.11427549,3.767412476,1.101877594,1.92099866,3.142696689,0.574169825
304,1.49521458,0.05520934,NA,10.24164916,5.403025957,4.734560559,19.8063655,0.558601646,5.023641389,0.25690571,10.55788994,5.183114854
172,4.257688744,5.421575778,3.399746461,0.097924482,3.32256667,2.535026324,6.680235518,0.104935188,4.893125151,7.794086423,4.608756737,6.092170715
170,0.157708525,0.131022753,2.92217338,NA,3.324340446,0.786140337,3.336735474,0.077980758,3.894552965,0.203229461,4.416340783,6.3780698
32,NA,NA,0.033042989,NA,NA,0.260178145,0.059056783,0.042325494,NA,0.082729902,0.464734253,0.092727186
223,0.084652178,0.140656461,10.36963348,6.041395769,2.030655585,3.259128951,15.06807877,3.767150172,2.218440822,6.326997018,0.032252116,5.074138336
137,0.453014695,NA,0.077721173,NA,1.379571899,0.495696502,1.805814607,0.248886916,0.152204466,2.626977187,0.028766108,NA
78,NA,0.037625734,NA,0.041795146,1.241274936,0.022024927,0.046868896,0.044787385,NA,0.087541943,0.051764825,1.56993162
11,3.09140387,4.431592256,NA,8.540085358,0.037125054,2.004543702,3.080751199,4.455859197,3.788031842,3.436922537,4.711246281,5.296841925
57,NA,4.719696909,0.067998982,0.081282165,1.213743396,0.326605683,0.167107358,0.152427446,0.066582557,0.255374105,0.075503213,0.04770569
72,0.03369154,NA,0.034681603,NA,0.061904701,0.071000924,2.308957314,0.088848862,NA,0.173665018,0.07701799,0.048662781
301,4.477449132,0.053330788,5.154177343,NA,1.906820034,1.763826822,0.465024447,0.190445179,2.52340766,0.37224636,0.84377298,1.668918087
42,3.301866576,NA,NA,0.157780541,3.187216176,0.327387909,0.265401626,0.169076521,0.646232287,2.065493331,1.978597154,1.203848153
9,8.072083558,4.653628319,27.98593832,17.02179865,14.99702262,12.82267297,20.82722393,12.93844662,15.60700005,19.17990901,12.50750718,16.03655804
239,7.624040554,28.62816231,0.13301833,0.318005284,13.98200072,12.14258926,9.390723449,13.48890085,11.98277417,9.103057306,2.363167436,6.283612178
307,37.47534908,21.10517864,15.37075555,26.84416264,54.93124477,32.27681606,34.45112868,51.07566025,27.36469307,24.48971648,33.21054101,30.03997402
283,6.220587306,7.962556166,10.62487785,28.34906765,11.63663964,18.45738444,11.16907004,18.47022653,16.90578596,2.968924291,5.89870896,5.324314195
251,13.65949971,26.33360506,18.34226293,5.656407025,11.503209,7.473230228,0.120820388,12.32477773,19.59293649,6.882901068,10.37506088,12.58372861
257,6.547780182,0.097357207,11.71617616,6.326519327,14.88382219,7.935838206,2.506330193,3.911223311,1.68316922,3.737517679,3.850842256,5.649030206
274,11.38970505,30.44008112,10.18906559,0.111227733,12.40142154,14.00875746,17.94037476,15.61400253,7.65345583,16.77397232,6.233623637,8.225428844
41,0.062898552,0.034837015,NA,0.077394803,0.102728489,0.005098125,0.043395099,NA,0.126796424,NA,0.071892233,NA
233,31.26499692,65.41767296,43.68718379,57.73172786,42.79197912,53.45750439,30.26210321,50.46874617,62.26736779,59.22043947,64.64599181,63.23325535
319,7.597497539,30.40585261,11.50408344,0.301564371,16.8315893,18.57732454,16.7733799,5.525937921,10.47396437,7.327036524,6.013326869,10.548755
253,12.69876209,18.50382357,15.96705468,5.977521249,3.940974175,5.788805165,6.154369239,6.854976502,16.14988109,16.36412861,17.04725634,16.80288431
279,0.08823483,0.097739552,13.48791479,6.079939187,4.566445531,3.132448647,6.432474871,2.559550789,1.245100624,1.705543537,1.042129807,1.401873436
143,0.072005227,NA,NA,NA,0.088201413,0.040853744,0.082796659,0.071207593,0.07257723,0.092788793,0.329204181,NA
168,NA,1.590519965,0.037898545,NA,1.202609072,1.551734329,0.118536213,0.121362707,0.296872915,3.131263832,1.571022198,4.520008194
212,0.078756038,11.69011938,2.756392642,0.09690697,2.677061577,1.021347751,0.108671057,7.217215619,0.873198348,1.217857856,7.111353617,4.436337041
316,7.839980402,0.052316319,11.23045043,0.290568177,12.66958876,15.08248516,15.27112359,6.476513056,4.474773979,0.121721804,15.69074065,5.661885064
252,3.503953902,6.237968186,0.042939542,22.17348719,0.068128582,1.467366578,0.038372304,6.325253786,4.036330245,4.622841958,4.418185681,3.434235088
38,NA,0.033160651,NA,0.036835275,0.03666944,0.033969613,0.013768973,0.059208634,NA,NA,0.045621843,NA
106,3.274447053,NA,0.953320902,0.162792324,1.316732798,0.085787212,2.814383553,1.635441683,NA,0.255732265,0.025203035,NA
35,0.088289859,0.097800508,0.030294785,NA,0.102140682,0.28624678,0.067681247,0.116415777,0.059327483,0.07584921,0.112126854,0.340060057
216,0.038341826,NA,NA,7.878806136,1.573363643,0.919886606,0.017635248,2.300303829,0.154585638,4.94087977,1.460807059,1.661384334
293,4.477848382,NA,0.044751796,NA,7.624047404,1.064164822,3.899200335,0.028661782,6.835859367,3.36135907,1.225699332,1.130266179
102,NA,NA,0.066499396,0.079489644,0.052754517,0.570736557,0.103995901,0.149065954,NA,0.166494883,NA,0.046653633
126,0.101245092,NA,0.034740097,0.166105445,0.089568714,0.28995352,0.062089976,2.135969164,0.068032915,0.173957923,0.051431926,NA
39,NA,0.225303386,NA,NA,0.023727919,0.028261189,0.01336436,NA,NA,0.074886043,NA,NA
167,2.010273458,9.258889864,0.036304344,NA,1.908035371,1.886661618,3.779592531,0.139509106,4.407966949,NA,4.084829526,1.06973362
