"","Oligo_Number","K562_Rep_1_Normalized_Edit_Score","K562_Rep_4_Normalized_Edit_Score","K562_Rep_2_Normalized_Edit_Score","K562_Rep_3_Normalized_Edit_Score","HEK293T_Rep_4_Normalized_Edit_Score","HEK293T_Rep_3_Normalized_Edit_Score","HEK293T_Rep_2_Normalized_Edit_Score","HEK293T_Rep_1_Normalized_Edit_Score","iPSC_Rep_4_Normalized_Edit_Score","iPSC_Rep_3_Normalized_Edit_Score","iPSC_Rep_2_Normalized_Edit_Score","iPSC_Rep_1_Normalized_Edit_Score"
"156",225,14.1339781489748,6.09454314533893,5.90400929259026,4.1365753941906,8.76568926353484,13.7968112038431,10.1049730055815,13.3535179768691,12.9398450115356,7.11374406727775,8.35345437155704,10.7134688725873
"157",39,0.0815162269237303,0.0257521990252011,0.0183781944985348,0.0197829373104773,0.112624688834882,0.0988453305536378,0.135035833810722,0.0926541434593085,0.0735557278629532,0.0616526943615553,0.0292478629952628,0.0184636243283849
"158",90,0.622403242545714,0.120433744645293,0.0245566244776897,0.0396504261589295,0.0459821860257769,1.32704345462008,0.114273940205848,0.022509610579425,0.509289231496042,0.140044742050794,0.205172555940461,0.468744712335218
"159",305,NA,NA,0.00971426279073703,0.0209135507649539,0.0661451642327938,0.0895666577704532,0.0190337678115693,0.0178089845112345,0.74931888390246,0.156422889049186,0.0154597029227276,0.0585565134190986
"160",300,4.20167547311583,0.0267769631716349,0.00955476145487283,1.8513148525449,7.16951362893837,8.14398915127248,4.41821424095027,3.01285065237763,1.84949196962085,1.78214837139375,2.40252675163913,1.75664923285815
"161",294,10.9597310661788,4.05273206605087,6.55514124891982,6.28809558584189,9.34797225364095,8.2749339098308,5.4619204674527,5.8837118918065,5.34479554936144,6.26835426631251,5.39019065274501,10.552272977088
"162",220,0.586449466765289,2.35359212424692,1.13119528239195,NA,2.22319153917741,3.97700253067774,0.612874338915928,4.28375881718488,1.52161382267578,3.78328240743362,2.57760730881405,3.02193335487087
"163",38,0.707857558981256,0.0381795062724101,0.00908233624949503,0.0097765473464088,0.0711186768516414,0.0186089377636078,0.0222444928508018,0.996254011220244,0.0793103354874902,0.53014667551109,0.122859232649224,0.00912455489292584
"164",259,5.32611188349183,3.05731754432879,1.29660367343591,8.04698986334631,7.53177254877255,1.28251157200029,0.052562428147169,2.85791289460293,2.99328480867784,6.89947903069398,5.15156415025347,6.198726115873
"165",130,0.0520504639415457,NA,0.0136908423085343,0.0294746118982423,0.247038301938259,0.301552295974426,0.382260965082038,0.338838885899567,1.85307960803328,1.46970226737797,1.89557388643733,2.42078905897744
